City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
589,Brandon,US,27.9378,-82.2859,61.9,86,0,1.01,clear sky
590,Saint-Pierre,RE,-21.3393,55.4781,83.88,58,0,5.75,clear sky
591,Mizdah,LY,31.4451,12.9801,44.65,53,0,8.63,clear sky
592,Sabla,NG,12.7525,4.7077,66.47,24,7,12.66,clear sky
593,Florianopolis,BR,-27.6146,-48.5012,66.63,82,75,1.14,broken clouds
594,Sur,OM,22.5667,59.5289,72.77,67,0,2.98,clear sky
595,Saint-Leu,RE,-21.15,55.2833,83.26,70,3,3.76,clear sky
596,Sao Felix Do Xingu,BR,-6.6447,-51.995,70.23,97,100,1.12,overcast clouds
597,Ucar,AZ,40.519,47.6542,32.18,95,100,3.51,light snow
598,Lethem,GY,3.3803,-59.7968,75.27,82,36,9.28,scattered clouds
599,North Augusta,US,33.5018,-81.9651,57.15,82,100,3.44,overcast clouds
600,New Amsterdam,GY,6.25,-57.5167,72.5,97,59,4.47,broken clouds
601,Ordynskoye,RU,54.3656,81.8994,-2.79,89,100,18.7,overcast clouds
602,Nokaneng,BW,-19.6667,22.2667,68.74,70,100,7.78,overcast clouds
603,Coxim,BR,-18.5067,-54.76,72.1,89,96,3.62,overcast clouds
604,Khandbari,NP,27.3747,87.2039,70.09,25,0,3.65,clear sky
605,Berea,US,41.3662,-81.8543,31.23,81,97,5.99,overcast clouds
606,Pangnirtung,CA,66.1451,-65.7125,-14.15,74,20,3.98,few clouds
607,Huicungo,PE,-7.2833,-76.8,70.39,94,82,1.68,broken clouds
608,Rudnichnyy,RU,59.617,52.4703,-38.9,99,29,4.0,scattered clouds
609,Cognac,FR,45.5,-0.25,45.37,81,0,6.91,clear sky
610,Oksfjord,NO,70.2396,22.3479,30.38,82,100,13.0,overcast clouds
611,Pontes E Lacerda,BR,-15.2261,-59.3353,71.42,73,66,2.66,broken clouds
612,Bani Walid,LY,31.7566,13.9942,50.29,47,0,9.93,clear sky
613,Taoudenni,ML,22.6783,-3.9836,55.45,28,74,10.6,broken clouds
614,Muzhi,RU,65.3667,64.6667,-19.55,91,22,6.22,few clouds
615,Codajas,BR,-3.8367,-62.0569,72.21,98,59,1.34,broken clouds
616,Marsa Matruh,EG,31.3525,27.2453,57.4,67,40,11.5,scattered clouds
617,Muros,ES,42.7762,-9.0603,49.68,96,82,8.3,broken clouds
618,Rumilly,FR,45.8667,5.95,47.77,68,100,2.3,overcast clouds
619,Bardiyah,LY,31.7561,25.0865,57.94,68,8,8.9,clear sky
620,Santa Rosa,PH,14.3122,121.1114,86.09,66,64,12.82,broken clouds
621,Beloha,MG,-25.1667,45.05,79.34,72,94,4.52,overcast clouds
622,Pedasi,PA,7.5333,-80.0333,77.52,82,34,9.28,scattered clouds
623,Priiskovyy,RU,51.9333,116.6333,11.66,83,58,2.82,broken clouds
624,Rajec,SK,49.089,18.6401,47.35,89,100,2.3,light rain
625,Lydenburg,ZA,-25.0978,30.4597,61.88,71,0,1.97,clear sky
626,Annonay,FR,45.2397,4.6708,45.82,80,15,3.24,few clouds
627,Neftcala,AZ,39.3742,49.2472,36.0,83,100,22.03,light rain
628,Povenets,RU,62.8487,34.8262,-6.36,93,63,10.89,broken clouds
629,Soyo,AO,-6.1349,12.3689,76.3,90,97,3.94,overcast clouds
630,Carlos Antonio Lopez,PY,-26.4,-54.7667,65.19,68,47,1.45,scattered clouds
631,Narasannapeta,IN,18.4167,84.05,76.01,37,0,4.94,clear sky
632,Baghdad,IQ,33.3406,44.4009,48.11,100,90,3.44,mist
633,Doka,SD,13.5167,35.7667,69.69,31,12,7.09,few clouds
634,Esperantina,BR,-3.9017,-42.2336,72.72,95,85,3.51,overcast clouds
635,High Rock,BS,26.6208,-78.2833,64.42,73,66,7.76,broken clouds
636,Alekseyevka,RU,50.6309,38.6903,5.09,89,12,3.42,few clouds
637,Mehar,PK,27.1807,67.8229,66.63,14,100,3.2,overcast clouds
638,Moose Factory,CA,51.2585,-80.6094,21.2,86,100,4.61,light snow
639,The Valley,AI,18.217,-63.0578,77.09,75,2,16.96,clear sky
640,Goumeron,GR,37.7667,21.6167,47.34,85,4,4.23,clear sky
641,George Town,MY,5.4112,100.3354,84.13,78,40,8.05,scattered clouds
642,Dembi Dolo,ET,8.5333,34.8,61.39,53,20,3.89,few clouds
643,Isla Mujeres,MX,21.2311,-86.731,75.16,78,0,9.46,clear sky
644,Martinsville,US,36.6915,-79.8725,40.08,97,100,0.0,overcast clouds
645,Nezhinka,RU,51.7676,55.3694,-27.24,68,40,2.24,mist
646,Yarkovo,RU,57.4028,67.0786,-23.31,93,98,8.23,overcast clouds
647,Badou,TG,7.5833,0.6,69.55,21,33,3.67,scattered clouds
648,Wagar,SD,16.1525,36.2032,67.41,76,2,6.4,clear sky
649,Salamiyah,SY,35.0113,37.0532,43.25,83,13,5.35,few clouds
650,Tucupita,VE,9.0622,-62.051,70.84,99,100,2.46,overcast clouds
651,Kaupanger,NO,61.1845,7.2404,30.83,93,91,4.23,overcast clouds
652,Betare Oya,CM,5.6,14.0833,63.72,32,81,3.89,broken clouds
653,Chone,EC,-0.6833,-80.1,73.45,88,89,2.08,overcast clouds
654,Larsnes,NO,62.2028,5.5773,46.67,76,100,8.75,overcast clouds
655,Alibag,IN,18.6411,72.8792,82.47,34,0,4.25,clear sky
656,Araguacu,BR,-12.9306,-49.8264,71.64,93,100,0.49,overcast clouds
657,Storforshei,NO,66.4043,14.5233,31.78,64,40,13.8,scattered clouds
658,Dunmore Town,BS,25.5,-76.65,75.47,75,5,16.26,clear sky
659,Blyth,GB,55.1271,-1.5086,43.09,85,20,12.66,few clouds
660,Ati,TD,13.2154,18.3353,61.84,22,100,9.35,overcast clouds
661,Atar,MR,20.5169,-13.0499,66.33,15,100,13.76,overcast clouds
662,Issoudun,FR,47.0,1.8333,44.74,87,75,19.57,broken clouds
663,Iquique,CL,-20.2208,-70.1431,68.04,77,39,2.3,scattered clouds
664,Tshikapa,CD,-6.4167,20.8,67.05,97,100,2.3,overcast clouds
665,Sarankhola,BD,22.3082,89.7897,76.95,31,0,5.7,clear sky
666,Myre,NO,69.1036,15.9492,35.55,69,100,22.82,overcast clouds
667,Meulaboh,ID,4.1363,96.1285,82.89,68,93,3.65,overcast clouds
668,Derzhavinsk,KZ,51.1,66.3167,-18.65,98,41,9.1,scattered clouds
669,Wolfsburg,DE,52.4333,10.8,46.45,82,98,9.55,light rain
670,Gijon,ES,43.5357,-5.6615,53.8,66,87,10.0,overcast clouds
671,Miracema Do Tocantins,BR,-9.5618,-48.3967,71.38,95,67,0.89,broken clouds
672,Cheremisinovo,RU,51.8855,37.2646,1.65,91,28,5.68,scattered clouds
673,Maraa,BR,-1.8333,-65.3667,70.81,99,75,2.01,broken clouds
674,Losal,IN,27.4,74.9167,68.02,13,72,1.19,broken clouds
675,Surgut,RU,61.25,73.4167,-25.42,75,20,13.42,few clouds
676,Manbij,SY,36.5281,37.9549,39.88,82,4,7.4,clear sky
677,Zabol,AF,32.25,67.25,34.41,96,48,6.15,scattered clouds
678,Sinor,IN,21.9167,73.3333,66.22,21,0,6.46,clear sky
679,Cobija,BO,-11.0267,-68.7692,77.29,63,90,1.86,overcast clouds
680,Cocachacra,PE,-17.0883,-71.7575,69.15,83,85,2.1,overcast clouds
681,Santa Marta,CO,11.2408,-74.199,81.9,73,20,5.01,few clouds
682,Salym,RU,60.0625,71.4789,-18.22,93,100,10.89,overcast clouds
683,Rawson,AR,-43.3002,-65.1023,80.49,42,60,35.39,broken clouds
684,Tingi,TZ,-11.3,35.0333,66.42,90,100,3.15,overcast clouds
685,Vallenar,CL,-28.5708,-70.7581,67.91,59,0,2.1,clear sky
686,Fenoarivo,MG,-18.933,47.4354,69.87,83,75,5.75,broken clouds
687,Znamenskoye,RU,57.1281,73.8282,-16.98,93,100,9.17,overcast clouds
688,Georgiyevskoye,RU,58.731,45.024,-40.47,100,49,2.95,scattered clouds
689,Maarianhamina,AX,60.0973,19.9348,33.66,100,100,17.27,light intensity drizzle
